id,repo_name,filename,line_number,column_number,issue_text,code,severity,confidence,cwe,found_by_count,all_sources,source,tool_issue_id,tool_test_name,combined_tool_ids,is_duplicate
1,0l4bone_payment-processor,0l4bone_payment-processor/connection.py,38,0,Use of weak MD5 hash for security. Consider usedforsecurity=False,"37         #Store file each customer
38         password = hashlib.md5(str.encode(fake.password())).hexdigest()
39         commands[0] = ""echo {}"".format(result.body['customerName'])",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.audit.md5-used-as-password.md5-used-as-password|dlint:DUO130,True
2,0l4bone_payment-processor,0l4bone_payment-processor/connection.py,64,0,"Call to requests with verify=False disabling SSL certificate checks, security issue.","63     }
64     customers = requests.post('https://' + hostname + '/api/scans', json=access, headers=headers,verify=False)
65",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B501,request_with_no_cert_validation,bandit:B501|semgrep:python.requests.security.disabled-cert-validation.disabled-cert-validation|dlint:DUO123,True
3,66ru_payback,66ru_payback/gateauth/models.py,36,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"35         s1 = u''.join((hash, date))
36         hash = hashlib.sha1(s1).hexdigest()
37         #добавляем ключ и применяем sha1",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130|dlint:DUO130,True
4,Apkawa_django-payments-paymaster,Apkawa_django-payments-paymaster/payments_paymaster/rest_api/client.py,104,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"103         _line = u';'.join(map(str, [data.get(key) or '' for key in fields]))
104         _hash = hashlib.sha1(bytes(_line.encode('utf-8')))
105         _hash = base64.b64encode(_hash.digest()).replace('\n', '')",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
9,CavidRzayev_payment-az,CavidRzayev_payment-az/payment/utils.py,18,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"17 def convert_string_to_hash(word):
18     digest = hashlib.sha1(word.encode())
19     result = base64.b64encode(digest.digest())",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
10,CyberLight_django-demirbank,CyberLight_django-demirbank/demirbank/views.py,167,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"166     def _generate_hash(self, hash_values):
167         return base64.b64encode(binascii.unhexlify(sha1(hash_values).hexdigest()))
168",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
11,JUNICHIFUJIO_CryptoTests,JUNICHIFUJIO_CryptoTests/FinalMain.py,464,0,Use of insecure cipher cryptography.hazmat.primitives.ciphers.algorithms.Blowfish. Replace with a known secure cipher such as AES.,"463 
464             blowfish = Cipher(algorithms.Blowfish(key), modes.CBC(IV), default_backend())
465             blowfishEncryptor = blowfish.encryptor()",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B304,blacklist,bandit:B304|semgrep:python.cryptography.security.insecure-cipher-algorithms-blowfish.insecure-cipher-algorithm-blowfish|dlint:DUO134,True
12,JUNICHIFUJIO_CryptoTests,JUNICHIFUJIO_CryptoTests/FinalMain.py,544,0,Use of insecure cipher cryptography.hazmat.primitives.ciphers.algorithms.ARC4. Replace with a known secure cipher such as AES.,"543 
544             arc4 = Cipher(algorithms.ARC4(key), None, default_backend())
545             arc4Encryptor = arc4.encryptor()",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B304,blacklist,bandit:B304|semgrep:python.cryptography.security.insecure-cipher-algorithms-arc4.insecure-cipher-algorithm-arc4|dlint:DUO134,True
13,NavonHobby75_Stripe-PaymentProcessors-MerchantAPI-Django,NavonHobby75_Stripe-PaymentProcessors-MerchantAPI-Django/billing/gateways/global_iris_gateway.py,117,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"116         val1 = signing_string.format(**d)
117         hash1 = sha1(val1).hexdigest()
118         val2 = ""{0}.{1}"".format(hash1, config.shared_secret)",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130|dlint:DUO130,True
14,OpenG2P_openg2p-erp,OpenG2P_openg2p-erp/openg2p_disbursement/models/openg2p_disbursement_batch_transaction.py,289,0,"Call to requests with verify=False disabling SSL certificate checks, security issue.","288         try:
289             response = requests.get(url, params=params, headers=headers, verify=False)
290             response_data = response.json()",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B501,request_with_no_cert_validation,bandit:B501|semgrep:python.requests.security.disabled-cert-validation.disabled-cert-validation|dlint:DUO123,True
33,Quantosec_QuantoCrypt-py,Quantosec_QuantoCrypt-py/src/QuantoCrypt/hash.py,52,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"51 
52         return hashlib.sha1(self.data.encode(""utf-8"")).digest()
53",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
34,Quantosec_QuantoCrypt-py,Quantosec_QuantoCrypt-py/src/QuantoCrypt/hash.py,61,0,Use of weak SHA1 hash for security. Consider usedforsecurity=False,"60 
61         return hashlib.sha1(self.data.encode(""utf-8"")).hexdigest()
62",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B324,hashlib,bandit:B324|semgrep:python.lang.security.insecure-hash-algorithms.insecure-hash-algorithm-sha1|dlint:DUO130,True
