id,repo_name,filename,line_number,column_number,issue_text,code,severity,confidence,cwe,found_by_count,all_sources,source,tool_issue_id,tool_test_name,combined_tool_ids,is_duplicate
842,NavonHobby75_Stripe-PaymentProcessors-MerchantAPI-Django,NavonHobby75_Stripe-PaymentProcessors-MerchantAPI-Django/example/app/utils.py,6,0,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,"5     rstr = string.ascii_lowercase + string.digits
6     return ''.join(random.sample(rstr, word_len))",LOW,HIGH,,2,bandit|dlint,bandit,B311,blacklist,bandit:B311|dlint:DUO102,True
1159,ivansarno_EllipticCurvesLibrary,ivansarno_EllipticCurvesLibrary/tests/parametric_tests.py,62,0,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,"61     public = private.public_key
62     message = random.randint(1, 2**32)
63     cipher = public.encrypt(message, generator)",LOW,HIGH,,2,bandit|dlint,bandit,B311,blacklist,bandit:B311|dlint:DUO102,True
1371,openlabs_payment-gateway-beanstream,openlabs_payment-gateway-beanstream/tests/test_transaction.py,467,0,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,"466                     'gateway': self.beanstream_gateway.id,
467                     'amount': random.randint(6, 10),
468                 }])",LOW,HIGH,,2,bandit|dlint,bandit,B311,blacklist,bandit:B311|dlint:DUO102,True
110,elessarelfstone_tcomapi,elessarelfstone_tcomapi/tcomapi/kgd/api.py,95,0,"Call to requests with verify=False disabling SSL certificate checks, security issue.","94 
95         r = requests.post(url, request, headers=self.headers, verify=False, timeout=self._timeout)
96",HIGH,HIGH,,3,bandit|dlint|semgrep,bandit,B501,request_with_no_cert_validation,bandit:B501|semgrep:python.requests.security.disabled-cert-validation.disabled-cert-validation|dlint:DUO123,True
3564,acriptis_django_simple_payment_system,acriptis_django_simple_payment_system/wallets/models.py,28,0,"This code uses a 224-bit hash function, which is deprecated or disallowed in some security policies. Consider updating to a stronger hash function such as SHA-384 or higher to ensure compliance and security.","        #generates secret hash for wallet to alias it in secret link
        user_code = ""%s %s %s"" % (self.owner.name, self.owner.city , self.owner.country)
        user_hash = hashlib.sha224(user_code.encode('utf8')).hexdigest()
        return user_hash

",MEDIUM,HIGH,CWE-327: Use of a Broken or Risky Cryptographic Algorithm,1,semgrep,semgrep,python.lang.security.audit.sha224-hash.sha224-hash,,semgrep:python.lang.security.audit.sha224-hash.sha224-hash,False
3264,wadobo_congressus,wadobo_congressus/congressus/dashboard/views.py,13,1,"insecure use of ""random"" module, prefer ""random.SystemRandom""",,HIGH,,,1,dlint,dlint,DUO102,,dlint:DUO102,False
1710,willmurnane_store,willmurnane_store/apps/whoosh/util/cache.py,196,0,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,"195                     for i in xrange(maxsize // 10 or 1):
196                         n = random.randint(0, len(keys) - 1)
197                         k = keys.pop(n)",LOW,HIGH,,2,bandit|dlint,bandit,B311,blacklist,bandit:B311|dlint:DUO102,True
3439,seyijava_PaymentProcessorAPIGateway,seyijava_PaymentProcessorAPIGateway/src/utils/CreditCardGenerator.py,75,0,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,"74 
75     generator = Random()
76     generator.seed()        # Seed from current time",LOW,HIGH,,1,bandit,bandit,B311,blacklist,bandit:B311,False
2427,bandoche_PyPinkSign,bandoche_PyPinkSign/pypinksign/pypinksign.py,544,0,Use of insecure cipher cryptography.hazmat.primitives.ciphers.algorithms.SEED. Replace with a known secure cipher such as AES.,"543     backend = default_backend()
544     cipher = Cipher(algorithms.SEED(key), modes.CBC(iv), backend=backend)
545     decryptor = cipher.decryptor()",HIGH,HIGH,,1,bandit,bandit,B304,blacklist,bandit:B304,False
1061,fbenke_BeamPay,fbenke_BeamPay/transaction/utils.py,6,0,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,"5 def generate_reference_number():
6     return str(random.randint(10000, 999999))
7",LOW,HIGH,,2,bandit|dlint,bandit,B311,blacklist,bandit:B311|dlint:DUO102,True
3970,OpenMined_PySyft,OpenMined_PySyft/packages/syft/src/syft/client/registry.py,539,0,"Detected a request using 'http://'. This request will be unencrypted, and attackers could listen into traffic on the network and be able to obtain sensitive information. Use 'https://' instead.",,INFO,HIGH,,1,semgrep,semgrep,python.lang.security.audit.insecure-transport.requests.request-with-http.request-with-http,request-with-http,semgrep:python.lang.security.audit.insecure-transport.requests.request-with-http.request-with-http,False
3235,seyijava_PaymentProcessorAPIGateway,seyijava_PaymentProcessorAPIGateway/src/utils/CreditCardGenerator.py,7,1,"insecure use of ""random"" module, prefer ""random.SystemRandom""",,HIGH,,,1,dlint,dlint,DUO102,,dlint:DUO102,False
3971,OpenMined_PySyft,OpenMined_PySyft/packages/syft/src/syft/util/util.py,1059,0,"Detected a request using 'http://'. This request will be unencrypted, and attackers could listen into traffic on the network and be able to obtain sensitive information. Use 'https://' instead.",,INFO,MEDIUM,,1,semgrep,semgrep,python.lang.security.audit.insecure-transport.requests.request-with-http.request-with-http,request-with-http,semgrep:python.lang.security.audit.insecure-transport.requests.request-with-http.request-with-http,False
